sku;grouped_skus;attribute_set_code;type;product_websites;name;meta_title;meta_description;description;short_description;ed_model;categories;ed_brand;ed_type;ed_color;image;small_image;thumbnail
alte_500_63_110030606062;137262;Default;grouped;base;Altea;Altea;Altea;Altea;Altea;Altea;Shop/Home accessories/Organization/Stationary;Casa Vivante;to be determined;ochre; 13726201.jpg; 13726201.jpg; 13726201.jpg
alte_500_81_110030606062;137257;Default;grouped;base;Altea;Altea;Altea;Altea;Altea;Altea;Shop/Home accessories/Organization/Stationary;Casa Vivante;to be determined;l.green; 13725701.jpg; 13725701.jpg; 13725701.jpg
amadora_515_90_130031506151;1043395;Default;grouped;base;Amadora;Amadora;Amadora;Amadora;Amadora;Amadora;Shop/Spring & outdoor decoration/Outdoor furniture/Outdoor chairs;House of Seasons;chair;blue; 104339501.jpg; 104339501.jpg; 104339501.jpg
amadora_516_10_130031506150;1043398;Default;grouped;base;Amadora;Amadora;Amadora;Amadora;Amadora;Amadora;Shop/Spring & outdoor decoration/Outdoor furniture/Outdoor tables;House of Seasons;table;white; 104339801.jpg; 104339801.jpg; 104339801.jpg
amadora_516_10_130031506153;1043397;Default;grouped;base;Amadora;Amadora;Amadora;Amadora;Amadora;Amadora;Shop/Spring & outdoor decoration/Outdoor furniture/Outdoor furniture others;House of Seasons;table;white; 104339701.jpg; 104339701.jpg; 104339701.jpg
amadora_516_90_130031506150;1043394;Default;grouped;base;Amadora;Amadora;Amadora;Amadora;Amadora;Amadora;Shop/Spring & outdoor decoration/Outdoor furniture/Outdoor tables;House of Seasons;table;blue; 104339401.jpg; 104339401.jpg; 104339401.jpg
amalia_500_22_110030506050;1008337;Default;grouped;base;Amalia;Amalia;Amalia;Amalia;Amalia;Amalia;Shop/Home accessories/Small furniture/Stools;Casa Vivante;to be determined;d.grey; 100833701.jpg; 100833701.jpg; 100833701.jpg
amalia_500_22_110030806080;1008338;Default;grouped;base;Amalia;Amalia;Amalia;Amalia;Amalia;Amalia;Shop/Home accessories/Home textiles/Rugs;Casa Vivante;to be determined;d.grey; 100833801.jpg; 100833801.jpg; 100833801.jpg
amalia_500_90_110030806081;1003531;Default;grouped;base;Amalia;Amalia;Amalia;Amalia;Amalia;Amalia;Shop/Home accessories/Home textiles/Pillows;Casa Vivante;to be determined;blue; 100353101.jpg; 100353101.jpg; 100353101.jpg
amar_194_120_110030306031; 131185, 131186;Default;grouped;base;Amara;Amara;Amara;Amara;Amara;Amara;Shop/Home accessories/Room accents/Frames & mirrors;Casa Vivante;photo frame;brown; 13118501.jpg; 13118501.jpg; 13118501.jpg
