sku;attribute_set_code;product_type;product_websites;name;meta_title;meta_description;description;short_description;categories;image;small_image;thumbnail;ed_brand;ed_type;ed_model;ed_essentials;price;length;width;height;diameter;weight;qty;min_sale_qty;ed_fmat;ed_fheig;ed_color;discount_percentage;config_size
387065;Default;Simple;base;Empress Spruce frosted x-mas tree w/burlap green - h60xd46cm;Empress Spruce frosted x-mas tree w/burlap green - h60xd46cm;Empress Spruce frosted x-mas tree w/burlap green - h60xd46cm;Empress Spruce x-mas tree w/burlap green - h60xd46cm;Empress Spruce x-mas tree w/burlap green - h60xd46cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas tree burlap/potted;/38706501.jpg;/38706501.jpg;/38706501.jpg;Triumph Tree;with burlap;Empress Spruce;No;0;NULL;NULL;60;46;0;0;6;pvc;60 - 90 cm;green;0;H60.D46.
1030317;Default;Simple;base;Langton x-mas tree green TIPS 156 - h120xd69cm;Langton x-mas tree green TIPS 156 - h120xd69cm;Langton x-mas tree green TIPS 156 - h120xd69cm;Langton x-mas tree green TIPS 156 - h120xd69cm;Langton x-mas tree green TIPS 156 - h120xd69cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/103031701.jpg;/103031701.jpg;/103031701.jpg;Black Box Trees;to be determined;Langton;No;0;NULL;NULL;120;69;0;0;6;pvc;90 - 130 cm;green;0;H120.D69.
1046312;Default;Simple;base;Caroline x-mas tree green TIPS 4404 -h365xd198cm;Caroline x-mas tree green TIPS 4404 -h365xd198cm;Caroline x-mas tree green TIPS 4404 -h365xd198cm;Caroline x-mas tree green TIPS 4480  - h365xd198cm;Caroline x-mas tree green TIPS 4480  - h365xd198cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/104631201.jpg;/104631201.jpg;/104631201.jpg;Black Box Trees;to be determined;Caroline;No;0;NULL;NULL;365;198;0;0;1;hardneedle;300 - 400 cm;frosted;0;H365.D198.
1046362;Default;Simple;base;Hallarin x-mas tree led green fr 480L TIPS 3049-h260xd168cm;Hallarin x-mas tree led green fr 480L TIPS 3049-h260xd168cm;Hallarin x-mas tree led green fr 480L TIPS 3049-h260xd168cm;Hallarin x-mas tree led green frosted 480L TIPS 3049 - h260xd168cm;Hallarin x-mas tree led green frosted 480L TIPS 3049 - h260xd168cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/104636201.jpg;/104636201.jpg;/104636201.jpg;Triumph Tree;to be determined;Hallarin;No;0;NULL;NULL;260;168;0;0;1;pvc/pe;240 - 300 cm;frosted;0;H260.D168.
1046401;Default;Simple;base;Zilina x-mas tree green TIPS 252 - h120xd89cm;Zilina x-mas tree green TIPS 252 - h120xd89cm;Zilina x-mas tree green TIPS 252 - h120xd89cm;Zilina x-mas tree green TIPS 252 - h120xd89cm;Zilina x-mas tree green TIPS 252 - h120xd89cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/104640101.jpg;/104640101.jpg;/104640101.jpg;Triumph Tree;to be determined;Zilina;No;0;NULL;NULL;120;89;0;0;6;pvc/hardneedle;90 - 130 cm;frosted;0;H120.D89.
1046408;Default;Simple;base;Zilina x-mas tree led green 144L TIPS 396 - h155xd104cm;Zilina x-mas tree led green 144L TIPS 396 - h155xd104cm;Zilina x-mas tree led green 144L TIPS 396 - h155xd104cm;Zilina x-mas tree led green 144L TIPS 396 - h155xd104cm;Zilina x-mas tree led green 144L TIPS 396 - h155xd104cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/104640801.jpg;/104640801.jpg;/104640801.jpg;Triumph Tree;to be determined;Zilina;No;0;NULL;NULL;155;104;0;0;4;pvc/hardneedle;130 - 170 cm;frosted;0;H155.D104.
1047624;Default;Simple;base;Allium in plastic pot mauve - h116xd17cm;Allium in plastic pot mauve - h116xd17cm;Allium in plastic pot mauve - h116xd17cm;Allium in plastic pot mauve - h116xd17cm;Allium in plastic pot mauve - h116xd17cm;Shop/Artificial flowers & plants/Plants/Grasses;/104762401.jpg;/104762401.jpg;/104762401.jpg;Mica Decorations;to be determined;Allium;No;0;NULL;NULL;116;17;0;0;2;pvc;90 - 130 cm;mauve;0;H116.D17.
389702;Default;Simple;base;Abies Nordmann Delux x-mas tree led green - h425xd249cm;Abies Nordmann Delux x-mas tree led green - h425xd249cm;Abies Nordmann Delux x-mas tree led green - h425xd249cm;Abies Nordmann Delux x-mas tree led green 2168L TIPS 14877 - h425xd249cm;Abies Nordmann Delux x-mas tree led green 2168L TIPS 14877 - h425xd249cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/38970201.jpg;/38970201.jpg;/38970201.jpg;Triumph Tree;led;Abies Nordmann;No;0;NULL;NULL;425;249;0;0;1;pvc/pe;400 - 600 cm;green;0;H425.D249.
389748;Default;Simple;base;Emerald x-mas tree led green - h230xd114cm;Emerald x-mas tree led green - h230xd114cm;Emerald x-mas tree led green - h230xd114cm;Emerald x-mas tree led green 256L TIPS 1992 - h230xd114cm;Emerald x-mas tree led green 256L TIPS 1992 - h230xd114cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/38974801.jpg;/38974801.jpg;/38974801.jpg;Triumph Tree;led;Emerald;No;0;NULL;NULL;230;114;0;0;2;pvc/pe;210 - 240 cm;green;0;H230.D114.
389828;Default;Simple;base;Forest Frosted x-mas tree led newgrowth blue - h230xd157cm;Forest Frosted x-mas tree led newgrowth blue - h230xd157cm;Forest Frosted x-mas tree led newgrowth blue - h230xd157cm;Forest Frosted x-mas tree led newgrowth blue 400L TIPS 1536 - h230xd157cm;Forest Frosted x-mas tree led newgrowth blue 400L TIPS 1536 - h230xd157cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/38982801.jpg;/38982801.jpg;/38982801.jpg;Triumph Tree;led;Forest Fr.Pine;No;0;NULL;NULL;230;157;0;0;2;pvc/hardneedle;210 - 240 cm;newgrowth blue;0;H230.D157.
