sku;ed_model;ed_color;ed_size;;
1027460;Miro;l.grey;L26.W26.H26;;
1027461;Miro;l.grey;L31.W31.H31;;
1021702-01;Drift;l.grey;L37.W37.H31;;
1021703-01;Drift;l.grey;L19.W19.H17;;
1021704-01;Drift;l.grey;L25.W25.H22;;
1021705-01;Drift;l.grey;L31.W31.H27;;
1028260;;;;;
;114;L114.W114.H95;;;
1028259;Rocca;l.grey;H40.D49.;;
1027467;Rocca;l.grey;H28.D35.;;
1027468;Rocca;l.grey;H34.D42.;;
1027469;Rocca;l.grey;H40.D49.;;
1028258;Rocca;anthracite;H40.D49.;;
1027470;Rocca;anthracite;H28.D35.;;
1027471;Rocca;anthracite;H34.D42.;;
1027472;Rocca;anthracite;H40.D49.;;
1027488;Rosco;l.grey;H25.D28.;;
1027486;Rosco;l.grey;H37.D42.;;
1027492;Rosco;l.grey;H26.D42.;;
1028287;Rosco;white;H31.D50.;;
1027490;Rosco;white;H26.D42.;;
1027489;Rosco;white;H31.D50.;;
1028290;Miro;beige;L37.W37.H37;;
1028835-02;Millington;frosted;H120.D71.;;
1028836-02;Millington;frosted;H155.D86.;;
1028837-02;Millington;frosted;H185.D109.;;
1028838-02;Millington;frosted;H215.D119.;;
1037097;;green;;;
1015820-01;Glendon;green;H45.D20.;;
1015821-01;Glendon;green;H60.D23.;;
1015818-01;Glendon;green;L270.D25.;;
1038762;Garden d'light;warm white;L121.W1.H135;;
1038763;Garden d'light;warm white;L90.W1.H102;;
1038903;Garden d'light;warm white;L60.W1.H73;;
1038764;Garden d'light;warm white;L60.W1.H165;;
1023736;;black;L94.W57.H192;;
1042239;;black;L34.5.H150;;
1042238;;black;L53.5.H180;;
1042236;;black;H131.D38.;;
1044962;;black;L54.H180;;
1046230-01;Glendon;frosted;H90.D45.;;
1054547;;warm white;L30.H83;;
1054549;;warm white;L40.H104;;
762832;Connect Xp;black;L180;;
950056;;NULL;;;
950049;;NULL;;;
950050;;NULL;;;
950028;;NULL;;;
394634;Frosted Stelton;green;H170.D117.;;
394635;Frosted Stelton;green;H185.D122.;;
