sku;grouped_skus;ed_search;attribute_set_code;type;product_websites;name;meta_title;meta_description;description;short_description;ed_model;categories;ed_brand;ed_type;ed_color;image;small_image;thumbnail
alma_151_54_10003000; 1006412, 1006413, 1006414, 1006415; 1006412, 1006413, 1006414, 1006415;default;grouped;base;alma;alma;alma;alma;alma;alma;shop/pottery & glassware/indoor pottery;mica decorations;pot;terra; 100641201.jpg; 100641201.jpg; 100641201.jpg
alma_798_21_10003000;1006395;1006395;default;grouped;base;alma;alma;alma;alma;alma;alma;shop/pottery & glassware/indoor pottery;mica decorations;tray;l.grey; 100639501.jpg; 100639501.jpg; 100639501.jpg
alma_798_22_10003000;1006406;1006406;default;grouped;base;alma;alma;alma;alma;alma;alma;shop/pottery & glassware/indoor pottery;mica decorations;tray;d.grey; 100640601.jpg; 100640601.jpg; 100640601.jpg
alma_798_54_10003000;1006411;1006411;default;grouped;base;alma;alma;alma;alma;alma;alma;shop/pottery & glassware/indoor pottery;mica decorations;tray;terra; 100641101.jpg; 100641101.jpg; 100641101.jpg
aloe_176_80_12003100; 1040422, 930551, N30551; 1040422, 930551, N30551;default;grouped;base;aloë vera;aloë vera;aloë vera;aloë vera;aloë vera;aloë vera;shop/artificial flowers & plants/plants;mica decorations;succulents;green; 104042201.jpg; 104042201.jpg; 104042201.jpg
alpha_151_21_10003010;1010181;1010181;default;grouped;base;alpha;alpha;alpha;alpha;alpha;alpha;shop/pottery & glassware/outdoor pottery;mica decorations;pot;l.grey; 101018101.jpg; 101018101.jpg; 101018101.jpg
alpha_151_22_10003010;1010184;1010184;default;grouped;base;alpha;alpha;alpha;alpha;alpha;alpha;shop/pottery & glassware/outdoor pottery;mica decorations;pot;d.grey; 101018401.jpg; 101018401.jpg; 101018401.jpg
alta_500_120_11003050;1044104;1044104;default;grouped;base;alta;alta;alta;alta;alta;alta;shop/home accessories/small furniture;mica decorations;to be determined;brown; 104410401.jpg; 104410401.jpg; 104410401.jpg
alta_500_121_11003050;1044105;1044105;default;grouped;base;alta;alta;alta;alta;alta;alta;shop/home accessories/small furniture;mica decorations;to be determined;l.brown; 104410501.jpg; 104410501.jpg; 104410501.jpg
alte_500_121_11003060;231233;231233;default;grouped;base;altea;altea;altea;altea;altea;altea;shop/home accessories/organization;casa vivante;to be determined;l.brown; 23123301.jpg; 23123301.jpg; 23123301.jpg
alte_500_63_11003060;137262;137262;default;grouped;base;altea;altea;altea;altea;altea;altea;shop/home accessories/organization;casa vivante;to be determined;ochre; 13726201.jpg; 13726201.jpg; 13726201.jpg
alte_500_81_11003060;137257;137257;default;grouped;base;altea;altea;altea;altea;altea;altea;shop/home accessories/organization;casa vivante;to be determined;l.green; 13725701.jpg; 13725701.jpg; 13725701.jpg
amadora_515_10_13003150;1043399;1043399;default;grouped;base;amadora;amadora;amadora;amadora;amadora;amadora;shop/spring & outdoor decoration/outdoor furniture;house of seasons;chair;white; 104339901.jpg; 104339901.jpg; 104339901.jpg
amadora_515_90_13003150;1043395;1043395;default;grouped;base;amadora;amadora;amadora;amadora;amadora;amadora;shop/spring & outdoor decoration/outdoor furniture;house of seasons;chair;blue; 104339501.jpg; 104339501.jpg; 104339501.jpg
amadora_516_10_13003150; 1043397, 1043398; 1043397, 1043398;default;grouped;base;amadora;amadora;amadora;amadora;amadora;amadora;shop/spring & outdoor decoration/outdoor furniture;house of seasons;table;white; 104339701.jpg; 104339701.jpg; 104339701.jpg
amadora_516_90_13003150;1043394;1043394;default;grouped;base;amadora;amadora;amadora;amadora;amadora;amadora;shop/spring & outdoor decoration/outdoor furniture;house of seasons;table;blue; 104339401.jpg; 104339401.jpg; 104339401.jpg
amalia_500_22_11003050;1008337;1008337;default;grouped;base;amalia;amalia;amalia;amalia;amalia;amalia;shop/home accessories/small furniture;casa vivante;to be determined;d.grey; 100833701.jpg; 100833701.jpg; 100833701.jpg
amalia_500_22_11003080;1008338;1008338;default;grouped;base;amalia;amalia;amalia;amalia;amalia;amalia;shop/home accessories/home textiles;casa vivante;to be determined;d.grey; 100833801.jpg; 100833801.jpg; 100833801.jpg
amalia_500_90_11003080;1003531;1003531;default;grouped;base;amalia;amalia;amalia;amalia;amalia;amalia;shop/home accessories/home textiles;casa vivante;to be determined;blue; 100353101.jpg; 100353101.jpg; 100353101.jpg
amar_194_120_11003030; 131185, 131186; 131185, 131186;default;grouped;base;amara;amara;amara;amara;amara;amara;shop/home accessories/room accents;casa vivante;photo frame;brown; 13118501.jpg; 13118501.jpg; 13118501.jpg
amar_500_40_12003105;950245;950245;default;grouped;base;amaryllis;amaryllis;amaryllis;amaryllis;amaryllis;amaryllis;shop/artificial flowers & plants/seasonal flowers & plants;mica decorations;to be determined;red; 95024501.jpg; 95024501.jpg; 95024501.jpg
amel_500_180_10003020; 017987, 017988, 017989, 017992; 017987, 017988, 017989, 017992;default;grouped;base;amelie;amelie;amelie;amelie;amelie;amelie;shop/pottery & glassware/glassware;mica decorations;to be determined;transparent; 01798701.jpg; 01798701.jpg; 01798701.jpg
amia_500_120_11003050;1029840;1029840;default;grouped;base;amia;amia;amia;amia;amia;amia;shop/home accessories/small furniture;casa vivante;to be determined;brown; 102984001.jpg; 102984001.jpg; 102984001.jpg
amia_500_120_11003060; 1029842, 1029845; 1029842, 1029845;default;grouped;base;amia;amia;amia;amia;amia;amia;shop/home accessories/organization;casa vivante;to be determined;brown; 102984201.jpg; 102984201.jpg; 102984201.jpg
amia_500_120_11003080;1029839;1029839;default;grouped;base;amia;amia;amia;amia;amia;amia;shop/home accessories/home textiles;casa vivante;to be determined;brown; 102983901.jpg; 102983901.jpg; 102983901.jpg
amia_500_20_11003050;1029838;1029838;default;grouped;base;amia;amia;amia;amia;amia;amia;shop/home accessories/small furniture;casa vivante;to be determined;grey; 102983801.jpg; 102983801.jpg; 102983801.jpg
amia_500_20_11003060; 1029841, 1029843; 1029841, 1029843;default;grouped;base;amia;amia;amia;amia;amia;amia;shop/home accessories/organization;casa vivante;to be determined;grey; 102984101.jpg; 102984101.jpg; 102984101.jpg
amia_500_20_11003080;1029837;1029837;default;grouped;base;amia;amia;amia;amia;amia;amia;shop/home accessories/home textiles;casa vivante;to be determined;grey; 102983701.jpg; 102983701.jpg; 102983701.jpg
anem_4_100_12003090;1016546;1016546;default;grouped;base;anemone;anemone;anemone;anemone;anemone;anemone;shop/artificial flowers & plants/flowers & bouquets;mica decorations;anemone;pink; 101654601.jpg; 101654601.jpg; 101654601.jpg
anem_4_110_12003090;1019426;1019426;default;grouped;base;anemone;anemone;anemone;anemone;anemone;anemone;shop/artificial flowers & plants/flowers & bouquets;mica decorations;anemone;purple; 101942601.jpg; 101942601.jpg; 101942601.jpg
anem_4_14_12003090;1016416;1016416;default;grouped;base;anemone;anemone;anemone;anemone;anemone;anemone;shop/artificial flowers & plants/flowers & bouquets;mica decorations;anemone;cream; 101641601.jpg; 101641601.jpg; 101641601.jpg
anem_4_81_12003090;1016417;1016417;default;grouped;base;anemone;anemone;anemone;anemone;anemone;anemone;shop/artificial flowers & plants/flowers & bouquets;mica decorations;anemone;l.green; 101641701.jpg; 101641701.jpg; 101641701.jpg
ange_500_20_11003030; 1008504, 1008505, 1008506, 1008507; 1008504, 1008505, 1008506, 1008507;default;grouped;base;angelo;angelo;angelo;angelo;angelo;angelo;shop/home accessories/room accents;casa vivante;to be determined;grey; 100850401.jpg; 100850401.jpg; 100850401.jpg
ania_174_180_10003020; 1007047, 147540; 1007047, 147540;default;grouped;base;ania;ania;ania;ania;ania;ania;shop/pottery & glassware/glassware;casa vivante;cover glass;transparent; 100704701.jpg; 100704701.jpg; 100704701.jpg
ankara_520_22_11003040;1023509;1023509;default;grouped;base;ankara;ankara;ankara;ankara;ankara;ankara;shop/home accessories/lamps & lighting;mica decorations;hanging lamp;d.grey; 102350901.jpg; 102350901.jpg; 102350901.jpg
anny_151_55_10003000; 1007644, 1007645, 1007646; 1007644, 1007645, 1007646;default;grouped;base;anny;anny;anny;anny;anny;anny;shop/pottery & glassware/indoor pottery;mica decorations;pot;salmon; 100764401.jpg; 100764401.jpg; 100764401.jpg
anth_5_10_12003100;947887;947887;default;grouped;base;anthurium;anthurium;anthurium;anthurium;anthurium;anthurium;shop/artificial flowers & plants/plants;mica decorations;anthurium;white; 94788701.jpg; 94788701.jpg; 94788701.jpg
anth_5_102_12003100;949919;949919;default;grouped;base;anthurium;anthurium;anthurium;anthurium;anthurium;anthurium;shop/artificial flowers & plants/plants;mica decorations;anthurium;d.pink; 94991901.jpg; 94991901.jpg; 94991901.jpg
anth_5_40_12003100;947888;947888;default;grouped;base;anthurium;anthurium;anthurium;anthurium;anthurium;anthurium;shop/artificial flowers & plants/plants;mica decorations;anthurium;red; 94788801.jpg; 94788801.jpg; 94788801.jpg
antica_151_21_10003010; 1036514, 1036516; 1036514, 1036516;default;grouped;base;antica;antica;antica;antica;antica;antica;shop/pottery & glassware/outdoor pottery;mica decorations;pot;l.grey; 103651401.jpg; 103651401.jpg; 103651401.jpg
antica_151_22_10003000; 1027685, 1027686, 1027687, 1027688, 1027689, 1027690; 1027685, 1027686, 1027687, 1027688, 1027689, 1027690;default;grouped;base;antica;antica;antica;antica;antica;antica;shop/pottery & glassware/indoor pottery;mica decorations;pot;d.grey; 102768501.jpg; 102768501.jpg; 102768501.jpg
antica_151_70_10003000; 1027676, 1027677, 1027678, 1027679, 1027680, 1027681; 1027676, 1027677, 1027678, 1027679, 1027680, 1027681;default;grouped;base;antica;antica;antica;antica;antica;antica;shop/pottery & glassware/indoor pottery;mica decorations;pot;beige; 102767601.jpg; 102767601.jpg; 102767601.jpg
antica_163_22_10003000;1027691;1027691;default;grouped;base;antica;antica;antica;antica;antica;antica;shop/pottery & glassware/indoor pottery;mica decorations;bowl;d.grey; 102769101.jpg; 102769101.jpg; 102769101.jpg
antica_163_70_10003000;1027682;1027682;default;grouped;base;antica;antica;antica;antica;antica;antica;shop/pottery & glassware/indoor pottery;mica decorations;bowl;beige; 102768201.jpg; 102768201.jpg; 102768201.jpg
antica_798_22_10003000; 1027692, 1027693; 1027692, 1027693;default;grouped;base;antica;antica;antica;antica;antica;antica;shop/pottery & glassware/indoor pottery;mica decorations;tray;d.grey; 102769201.jpg; 102769201.jpg; 102769201.jpg
